"id","session_id","current_trial","created_at","has_given_consent","mechanical_turk_code","ip_address","screen_width","screen_height","browser_width","browser_height","pixel_depth","platform","language","browser","user_agent","bandwidth","age","time_online","preferred_browser","is_mt_session"
175,"46e9766e013524b2040ea9a4982e75c218428110ddc1f6ae39fdd3186c61bc72",1,"2015-02-23 21:13:11",f,"","98.122.152.220",1280,800,1280,701,24,"MacIntel","en-US","Mozilla Firefox","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:35.0) Gecko/20100101 Firefox/35.0",1969694,"","","",f
176,"11e74c4eb5e93d362e36dacbad5353da9270c7760a2bcf57af99ce37412c9a51",1,"2015-02-23 21:15:41",f,"","",,,,,,"","","","",,"","","",f
177,"a84a8ed21e2b5e81c57b57db9f5024069efc2f96760438fbd7bb1c5691065fea",1,"2015-02-23 21:17:09",f,"","",,,,,,"","","","",,"","","",f
178,"29d4065ea19bfa25726f0318e61b5843d1b3dcf200b9645069e6cd5d095636e6",1,"2015-02-23 21:21:04",f,"","",,,,,,"","","","",,"","","",f
189,"775d55d57ae15a0cfb35206268382c6a7da4cd73d871ccbc115d134ce143c516",31,"2015-02-24 07:10:29",t,"6029e90706","107.15.176.36",1440,900,1406,817,24,"MacIntel","en-us","Google Chrome","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",2586534,"55-60","9+ hours","Safari",f
198,"45e6c9bb29be633b01a73e59e9b64e5d516e398d572316ea1e0542d48271d6c6",1,"2015-02-24 08:59:04",f,"","152.23.16.236",1600,900,1600,860,24,"Win32","en-us","Google Chrome","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36",7320354,"","","",f
190,"5edc69f897a25031fd50f3f1eb5dc21911aac0891fd15eaf141927bdf3239f16",1,"2015-02-24 08:32:12",t,"","66.57.61.33",1366,768,1366,765,24,"Linux x86_64","en-us","Google Chrome","Mozilla/5.0 (X11; CrOS x86_64 6457.94.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.114 Safari/537.36",2083506,"","","",f
191,"78284311fde1bd91e1e6b45b87b50e83814d291578b7ef0e9af4a87ce4e8e85b",1,"2015-02-24 08:35:21",f,"","152.23.138.226",1536,864,1550,840,24,"Win32","en-US","Mozilla Firefox","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0",12950214,"","","",f
192,"e6a88eeea6fcf6304c390856d9fc09ba298cf6361da03314e7f1534db0f9b617",1,"2015-02-24 08:35:29",f,"","152.2.82.151",1536,864,1550,840,24,"Win32","en-US","Mozilla Firefox","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0",49372603,"","","",f
180,"dc5decbeb9a63f3cb418fbe199a3d181f24bd1bccecbd23deedb0c4fcf6badee",1,"2015-02-23 23:04:03",f,"","",,,,,,"","","","",,"","","",f
